Nombre del recurso,Academia/Instituto,Archivos,Descripción del recurso,Efecto panico,Función del mensaje,Idioma que enseña,Link,Material Base,Número,Subítem,Texto,Tipo de palabra,Tipo de recurso,Tipo de signo,descripción del signo,ítem principal
What about?,U.Chile,Recurso_8.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro. Debajo, hay una fotografía a color de dos personas en lo que parece ser una entrevista o reunión de negocios. Un hombre con traje está sentado al otro lado de un escritorio, mientras que la parte trasera de la cabeza de otra persona es visible en primer plano. Debajo de la fotografía, se lee ""ne"" en negro y, finalmente, ""What about?"" también en negro.",Si,Anclaje,Chino Mandarín,,Desconocido,11,,,"Gramatica, Interrogación",Foto,índice,"Expresion que surge a partir de una conversacion, y la imagen indica que hay una conversacion.",
To call,U.Chile,Recurso_9.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro. Debajo, hay una fotografía a color de una mujer joven con el cabello recogido, gritando a través de un megáfono blanco con el interior rojo. Viste una camiseta a rayas. Debajo de la fotografía, se lee ""jiào"" en negro y, finalmente, ""to call"" también en negro.",Si,Anclaje,Chino Mandarín,,Desconocido,12,,"Jiao no tiene que ver con llamar a alguien que está lejos (como es lo que se puede inferir en la imagen), sino que tiene que ver mas bien con los nombre de las personas. (yo soy…)",Verbos,Foto,índice,"La persona con el megafono tiene muchos significados posibles. Pero el texto “to call” lo ancla a llamar. Por lo tanto, la imagen es un indice de que llama a alguien.

",
To tell,U.Chile,Recurso_10.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro. Debajo, hay una ilustración de una burbuja de diálogo blanca con un borde gris, sobre un fondo gris. Debajo de la ilustración, se lee ""gào"" en negro y, finalmente, ""to tell"" también en negro.",Si,Anclaje,Chino Mandarín,,Desconocido,13,,,Verbos,Ilustración,Icono,,
To eat,U.Chile,Recurso_11.png,Niño pequeño con un plato de comida sobre su mesa haciendo un gesto de pulgar arriba con una mano y sosteniendo un tenedor con comida en la otra,No,Anclaje,Chino Mandarín,,Desconocido,14,,,Verbos,Foto,índice,"El niño no tiene la comida en su boca, pero si sostiene un tenedor y tiene un plato lleno de comida, indice de que va a comer.",
To blow,U.Chile,Recurso_12.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro. Debajo, hay una fotografía a color de una mujer joven con cabello rubio soplando un globo verde claro. El fondo de la fotografía es azul. Debajo de la fotografía, se lee ""chuī"" en negro y, finalmente, ""to blow"" también en negro.",No,Anclaje,Chino Mandarín,,Desconocido,15,,,Verbos,Foto,Icono,,
Jugo,U.Chile,Recurso_13.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro, con un trazo rojo. Debajo, hay una fotografía a color de tres vasos de jugo de diferentes colores (rosa, naranja y amarillo), con rodajas de cítricos (toronja, naranja y limón) y hojas verdes al frente. Debajo de la fotografía, se lee ""zhī"" en negro y, finalmente, ""juice"" también en negro.",No,Anclaje,Chino Mandarín,,Desconocido,16,,,Comida,Foto,Icono,,
Sudor,U.Chile,Recurso_14.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro, con un trazo rojo. Debajo, hay una fotografía a color de una mujer con una toalla blanca alrededor del cuello, secándose el sudor de la frente con una toalla más pequeña. Parece estar sonriendo y tiene los ojos cerrados. Debajo de la fotografía, se lee ""hàn"" en negro y, finalmente, ""sweat"" también en negro.",Si,Anclaje,Chino Mandarín,,Desconocido,17,," los codigos visuales de la imagen parecen indicar que la mujer está limpia, lo cual no resuena mucho con el concepto sudor.",Cosas,Foto,índice,"El sudor no se ve explicitamente, podemos inferir que está ahi por la forma que la mujer se seca con la toalla.
",
Pond,U.Chile,Recurso_15.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro, con un trazo rojo. Debajo, hay una ilustración de un pequeño estanque de agua azul con un árbol de hojas verdes y tronco marrón a su lado, ambos sobre una superficie de césped verde. Debajo de la ilustración, se lee ""chí"" en negro y, finalmente, ""pond"" también en negro.",Si,Anclaje,Chino Mandarín,,Desconocido,18,,"Es dificil pensar que un paisaje asi exista de verdad, enchile no se utilza la expresion pond",Lugares,Ilustración,Icono,,
Wine,U.Chile,Recurso_16_(2).png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro, con un trazo rojo. Debajo, hay una fotografía a color de tres copas de vino, cada una con un vino de diferente color (blanco, rosado y tinto) salpicando o derramándose ligeramente, creando un efecto dinámico. Debajo de la fotografía, se lee ""jiǔ"" en negro y, finalmente, ""wine"" también en negro.",No,Anclaje,Chino Mandarín,,Desconocido,19,,,Comida,Foto,Icono,,
Soup,U.Chile,Recurso_16.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro, con un trazo rojo. Debajo, hay una fotografía a color de un tazón blanco lleno de sopa de tomate de color rojo anaranjado, con una pequeña guarnición verde en la superficie. Debajo de la fotografía, se lee ""tāng"" en negro y, finalmente, ""soup"" también en negro.",No,Anclaje,Chino Mandarín,,Desconocido,20,,,Comida,Foto,Icono,,
To wash,U.Chile,Recurso_17.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro, con un trazo rojo. Debajo, hay una ilustración de unas manos lavándose bajo un grifo de agua, con gotas de agua salpicando y una barra de jabón verde. Debajo de la ilustración, se lee ""xǐ"" en negro y, finalmente, ""to wash"" también en negro.",No,Anclaje,Chino Mandarín,,Desconocido,21,,,Verbos,Ilustración,Icono,,
Ocean,U.Chile,Recurso_18.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro, con un trazo rojo. Debajo, hay una fotografía a color de una ola rompiendo en un océano de aguas turquesas, con una montaña o isla en el horizonte bajo un cielo azul. Debajo de la fotografía, se lee ""yáng"" en negro y, finalmente, ""ocean"" también en negro.",No,Anclaje,Chino Mandarín,,Desconocido,22,,,Lugares,Foto,Icono,,
To flow,U.Chile,Recurso_19.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro, con un trazo rojo. Debajo, hay una ilustración de una corriente de agua o un flujo de líneas onduladas en diferentes tonos de azul. Debajo de la ilustración, se lee ""liú"" en negro y, finalmente, ""to flow"" también en negro.",Si,Anclaje,Chino Mandarín,,Desconocido,23,,se supone que eso sea agua?,Verbos,Ilustración,Icono,,
What’s in your wardrobe?,U.Chile,ropa.png,"La imagen es una página de un libro de texto con un fondo de color crema claro. En la parte superior izquierda, hay un título en negrita que dice ""What's in your wardrobe?"". Debajo, hay una lista de vocabulario con caracteres chinos, pinyin, tipo de palabra y definición en inglés. A la derecha de la lista, hay varias ilustraciones de prendas de vestir: una chaqueta verde menta, una falda rosa, una chaqueta amarilla, una camiseta a rayas naranjas y blancas, y un par de calcetines azules con rayas blancas. Los colores predominantes son el crema del fondo, el negro del texto y los contornos, y los colores de las prendas de vestir.",No,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,24,,,"Cosas, Vocabulario",Ilustración,Icono,,
Beijing,U.Chile,p31.png,"La imagen es una página de un libro de texto con un fondo blanco. Contiene texto en inglés y caracteres chinos en negro. En la parte superior, hay un título en rojo ""6. The Negative Adverb 不 (bù)"". A la derecha, hay una fotografía a color de un edificio tradicional chino con un techo ornamentado y coches aparcados en frente, bajo un cielo gris. Más abajo en la página, hay otro título en rojo ""7. The Adverb 也 (yě)"". Los colores predominantes son el blanco del fondo, el negro del texto y los caracteres, y el rojo de los títulos. La fotografía muestra tonos de gris, marrón, verde y colores de coches.",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,25,,,Lugares,Foto,Icono,,
Familia,U.Chile,unnamed_(4).png,"La imagen es una página de un libro de texto con un fondo blanco. En la parte superior, hay una ilustración a color de una familia de cuatro personas: un hombre, una mujer con cabello rubio, una mujer con cabello castaño y un niño pequeño con cabello rubio. Los personajes tienen un estilo de dibujo animado con contornos negros y colores planos. Debajo de la ilustración, hay texto en chino y en inglés, con algunas palabras resaltadas en azul. Los colores predominantes son el blanco del fondo, el negro del texto y los contornos, y los colores de la ilustración (tonos de piel, cabello rubio y castaño, ropa en tonos pastel como azul claro, verde menta y rosa).",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,26,,,Familia/amigos,Ilustración,Icono,,
That’s how the chinese say it,U.Chile,p145.png,"La imagen es una página de un libro de texto con un fondo verde oliva claro. Contiene texto en inglés y caracteres chinos en negro. En la parte superior, hay un título en negrita. A la derecha, hay dos ilustraciones de estilo cómic. La primera muestra a dos hombres, uno con cabello oscuro y otro con cabello rubio, en lo que parece ser una cancha de baloncesto. La segunda ilustración muestra a un hombre y una mujer sentados en un banco. Los colores predominantes son el verde oliva del fondo, el negro del texto y los caracteres, y los colores de las ilustraciones (tonos de piel, cabello oscuro y rubio, ropa en tonos azules y marrones).",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,27,,,"Dialogos, Interrogación",Ilustración,Simbolo,"Debido a la naturaleza del texto, el cual dice “así es como los chinos lo dicen” y proceden a utilizar una expresion tipica en las conversaciones en chino mandarin (suan le). El texto tambien explica en que circinstancias es utilizado esta expresion",
Hombre/Mujer,U.Chile,Captura_de_pantalla_2025-06-11_234811.png,"La imagen tiene un fondo gris oscuro. En el lado izquierdo, hay texto en caracteres chinos y pinyin en color rojo. En el lado derecho, hay un cartel de baño para hombres con un pictograma de una figura masculina, la palabra ""MEN"" y el carácter chino para hombre, así como la palabra ""Toilet"" y los caracteres chinos para ""lavamanos"". El cartel es blanco con detalles en negro y una franja azul en la parte inferior.
En el lado derecho hay otro cartel de baño, pero para mujeres con un pictograma dee una figura femenina, la palabra “WOMEN” y el carácter chino para mujer. así como la palabra ""Toilet"" y los caracteres chinos para ""lavamanos"". El cartel es blanco con detalles en negro y una franja rosada en la parte inferior. En la esquina inferior derecha de la imagen, hay un patrón repetitivo de ondas o escamas en blanco y negro.",No,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,28,,,Genero,Ícono/simbolo,Simbolo,"Es basicamente una abstraccion de lo que se considera femenino y masculino, Toma los codigos que han estado historicamente asociados a un genero o el otro",
Paises,U.Chile,Captura_de_pantalla_2025-06-11_235034.png,"La imagen es una página de un libro de texto con un fondo blanco que se degrada a un tono azul claro en la parte inferior. Contiene texto en caracteres chinos, pinyin y definiciones en inglés, organizados en columnas. En la sección inferior derecha, hay dos banderas: la bandera de China (roja con estrellas amarillas) y la bandera de Estados Unidos (azul con estrellas blancas y franjas rojas y blancas). En la parte inferior de la imagen, hay un patrón repetitivo de ondas o escamas en blanco y negro. Los colores predominantes son el blanco, el negro del texto, el azul claro del degradado y los colores de las banderas.",No,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,29,,,Paises,Ícono/simbolo,Simbolo,"Los simbolos patrios son fundamentalmente,”Simbolos”",
Pintar/Dibujar,U.Chile,hobbie1.png,"La imagen tiene un fondo de color crema claro. En la parte superior izquierda, hay un título en negrita que dice ""What's your hobby?"". Debajo, se presenta un número ""1."", seguido de caracteres chinos en negro y su transcripción en pinyin. A la derecha, hay una ilustración de una paleta de pintor de color beige con varias manchas de pintura de colores (amarillo, azul, naranja, verde, morado, blanco) y un pincel con mango marrón. Los colores predominantes son el crema del fondo, el negro del texto y los contornos, y los colores de la paleta y la pintura.",No,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,30,,,"Hobbies, Verbos",Ilustración,Icono,,
Jugar ajedrez,U.Chile,hobbie2.png,"La imagen tiene un fondo de color crema claro. En el lado izquierdo, se presenta un número ""2."", seguido de caracteres chinos en negro y su transcripción en pinyin. A la derecha, hay una ilustración de tres piezas de ajedrez: una corona dorada, una pieza negra (posiblemente un peón o una torre) y un caballo de ajedrez de color beige. Los colores predominantes son el crema del fondo, el negro del texto y los contornos, y los tonos dorados y beige de las piezas de ajedrez.",No,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,31,,,"Hobbies, Verbos",Ilustración,Icono,,
Chatear en linea,U.Chile,hobbie3.png,"La imagen tiene un fondo de color crema claro. En el lado izquierdo, hay caracteres chinos en negro y su transcripción en pinyin. A la derecha, hay una ilustración de una computadora portátil gris con una pantalla azul claro que muestra una interfaz de usuario con texto y elementos gráficos. Los colores predominantes son el crema del fondo, el negro del texto y los contornos, y el gris y azul de la computadora portátil.",Si,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,32,,está outdated,"Hobbies, Verbos",Ilustración,índice,,
Jugar consola de juegos,U.Chile,hobbie4.png,"La imagen tiene un fondo de color crema claro. En el lado izquierdo, hay caracteres chinos en negro y su transcripción en pinyin. A la derecha, hay una ilustración de una persona con cabello rubio y rizado, sentada en un taburete frente a un escritorio con una computadora de escritorio. La persona parece estar jugando un videojuego, sosteniendo un joystick y con una expresión de sorpresa o emoción. Los colores predominantes son el crema del fondo, el negro del texto y los contornos, y los tonos de piel, cabello, ropa (rosa y blanco) y el equipo de computadora (gris y azul claro).",Si,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,33,,"de nuevo, está outdated, no pareciera que estuviese jugando, no se entiende","Hobbies, Verbos",Ilustración,índice,La chica frente al computador es una indice de que está jugando,
Ir de compras,U.Chile,hobbie5.png,"La imagen tiene un fondo de color crema claro. En el lado izquierdo, hay caracteres chinos en negro y su transcripción en pinyin. A la derecha, hay una ilustración de una persona con cabello naranja y una camisa verde claro, mirando una vitrina de tienda con cuatro maniquíes que visten diferentes atuendos. Los colores predominantes son el crema del fondo, el negro del texto y los contornos, y los tonos de la ropa de los maniquíes (rosa, gris, amarillo, azul) y la ropa de la persona (verde claro, azul).",No,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,34,,,"Hobbies, Verbos",Ilustración,índice,,
Bailar,U.Chile,baile.png,"La imagen es una fotografía de un grupo de personas bailando en un escenario oscuro, iluminado con luces de colores. Un hombre y una mujer están en primer plano, y detrás de ellos hay varias mujeres más. Todos visten trajes coloridos, algunos con patrones a rayas o geométricos. Debajo de la fotografía, hay texto en caracteres chinos y su transcripción en pinyin. Los colores predominantes son los tonos oscuros del fondo, los colores vibrantes de los trajes (naranja, azul, morado, amarillo) y los tonos de piel de los bailarines.",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,35,,"no me cabe duda, ellos estan bailando","Hobbies, Verbos",Foto,Simbolo,"No muestra cualquier danza, esta es una danza especifica conocida en la cultura china",
Jugar a la pelota,U.Chile,jugar_a_la_pelota.png,"La imagen es una fotografía de un grupo de personas en una cancha de baloncesto al aire libre. En primer plano, hay cuatro hombres, dos de ellos con camisetas rojas de baloncesto y otros dos con camisas de vestir. Uno de los hombres de camisa de vestir sostiene un balón de baloncesto. Al fondo, se ven más personas y un aro de baloncesto. Debajo de la fotografía, hay texto en caracteres chinos y su transcripción en pinyin. Los colores predominantes son el gris de la cancha, el rojo de las camisetas, el blanco de las camisas y los tonos verdes de los árboles y el aro de baloncesto.",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,36,,,"Hobbies, Verbos",Foto,Simbolo,"Muestran jugadores bailando en un espacio, y tienen sus uniformes de basquett.",
Comida,U.Chile,comida.png,"La imagen es una fotografía de una mesa redonda cubierta con un mantel verde, llena de varios platos de comida china. Se pueden ver platos con verduras, dumplings, tofu picante, fideos y carne. También hay platos vacíos, tazas y cuencos. Debajo de la fotografía, hay texto en caracteres chinos y su transcripción en pinyin. Los colores predominantes son el verde del mantel, el blanco de los platos y cuencos, y los colores variados de la comida (rojo, verde, blanco, marrón).",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,37,,,"Comida, Interrogación",Foto,Simbolo,"Esta imagen representa una mesa tipica china, con sus respectivos platos tradicionales. Es la costumbre de que las comidas sean así.",
Agua,U.Chile,unnamed_(8).png,"La imagen es un anuncio o cartel con un fondo verde claro. Muestra diferentes productos de agua embotellada con sus precios. Hay una botella grande de 5 litros, un paquete de 24 vasos de agua, un paquete de 24 botellas de 600 ml y un paquete de 12 botellas de 1.5 litros. Los precios están escritos en caracteres chinos y números, con algunos precios tachados y nuevos precios en rojo. Debajo de la imagen de los productos, hay texto en caracteres chinos y su transcripción en pinyin. Los colores predominantes son el verde del fondo, el blanco y transparente de las botellas, el negro del texto y el rojo de los precios.",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,38,,,"Comida, Interrogación",Foto,Icono,,
Tomar,U.Chile,unnamed_(3).png,"La imagen es una fotografía de cuatro personas sentadas en un sofá alrededor de una mesa de centro en una sala de estar. Una mujer está sirviendo té en tazas. Las paredes son de color verde claro y hay cuadros colgados. Debajo de la fotografía, hay texto en caracteres chinos y su transcripción en pinyin. Los colores predominantes son el verde de las paredes, el blanco del sofá y la mesa, el negro del otro sofá y los colores de la ropa de las personas (marrón, blanco, azul, negro).",Si,Relevo,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,39,,"La calidad de la imagen deja mucho para interpretar, pareciera que mas que ser una imagen que represente de forma general “tomar”, es una situacion muy particular. la gente se ve triste. no está bien seleccionada, el texto se siente como si no perteneciera","Comida, Interrogación, Verbos",Foto,índice,Se puede inferir que esta la chica está ofreciendo algo para tomar por la tetera y la taza que tiene,
Vocabulary,U.Chile,vocabulario.png,"La imagen es una página de un libro de texto con un fondo blanco y una franja verde en la parte superior izquierda. Contiene una tabla de vocabulario con caracteres chinos, pinyin, tipo de palabra y definición en inglés. A la derecha, hay una fotografía a color de una calle concurrida, con edificios y tiendas a los lados, y personas caminando. Un hombre con una camisa morada está en primer plano. Debajo de la fotografía, hay texto en caracteres chinos y su transcripción en pinyin. Los colores predominantes son el blanco del fondo, el negro del texto, el verde de la franja y los colores variados de la fotografía (edificios, ropa de las personas).",No,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,40,,,"Cosas, Lugares, Vocabulario",Foto,Simbolo,Caminan en una calle especifica de china,
Measure words,U.Chile,cosas.png,"La imagen es una página de un libro de texto con un fondo blanco. Contiene una lista de combinaciones de ""palabra de medida + sustantivo"" en chino, con su pinyin y traducción al inglés. A la derecha de la lista, hay tres ilustraciones: un hombre de dibujos animados con traje, un bolígrafo rojo, y un par de pantalones azules con un sobre y una carta. Los colores predominantes son el blanco del fondo, el negro del texto, y los colores de las ilustraciones (tonos de piel, ropa, rojo, azul).",No,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,41,,,"Cosas, Gramatica, Vocabulario",Ilustración,Icono,,
Identical Twins,U.Chile,twins.png,"La imagen es una página de un libro de texto con un fondo blanco. En la parte superior izquierda, hay un título en un recuadro azul claro que dice ""I. Identical Twins"". Debajo, hay texto en inglés y caracteres chinos en negro, presentando información sobre gemelas idénticas. A la derecha, hay una ilustración de dos niñas de dibujos animados con cabello rubio y ojos grandes, vestidas con camisetas rosas con flores azules. Los colores predominantes son el blanco del fondo, el negro del texto, el azul claro del recuadro y los colores de la ilustración (tonos de piel, cabello rubio, rosa, azul).",No,Anclaje,Chino Mandarín,https://drive.google.com/file/d/1UcxXAdcztGBQ0OcvzbShsMzCVSKE8R6j/view?usp=sharing,Integrated Chinese textbook,42,,,Familia/amigos,Ilustración,Icono,,
En,CCch,en.png,,Si,Anclaje,Chino Mandarín,,Desconocido,43,,"La palabra zai, es utilizada en la mayoria de las veces como un “Estar”, la imagen pareciera que hace mas referencia a una localizacion geografica. Podria utilizarse una imagen mejor (o quizas un mensaje mejor)",Lugares,Ícono/simbolo,Icono,,
Saludo Informal,CCch,nihao2.png,"La imagen tiene un fondo gris claro. En el centro, hay una fotografía de dos hombres vestidos con traje, dándose la mano. Alrededor de la fotografía, hay dos burbujas de diálogo blancas con bordes de colores (morado y verde azulado). Dentro de las burbujas, hay texto en caracteres chinos, pinyin en rojo y la traducción al español ""¡Hola!"" en morado. En la esquina inferior derecha, hay un logotipo con texto en rojo y caracteres chinos en negro. Los colores predominantes son el gris del fondo, el blanco de las burbujas, el negro de los trajes y el texto, y los colores de los bordes de las burbujas y el texto (morado, verde azulado, rojo).",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1pBcp3_qV0Z0Du2f-AHgk0P8sJCyZBMCr/view?usp=sharing,HSK1 Standard Course,44,,,Saludo Informal,Foto,índice,,
